case,event,startTime,completeTime,REG_DATE,AMOUNT_REQ,resource,position,sT,cT,eventpos,case_index
182044,O_SENT_BACK,2011/11/24 10:47:46.356,2011/11/24 10:47:46.356,2011/11/03 19:25:46.817,3500,11049,17,1322124466.356,1322124466.356,O_SENT_BACK-17,35256
182044,W_Valideren aanvraag,2011/11/28 15:06:36.704,2011/11/28 15:18:51.041,2011/11/03 19:25:46.817,3500,10609,18,1322485596.704,1322486331.041,W_Valideren aanvraag-18,35257
182044,A_DECLINED,2011/11/28 15:18:46.549,2011/11/28 15:18:46.549,2011/11/03 19:25:46.817,3500,10609,19,1322486326.549,1322486326.549,A_DECLINED-19,35258
182044,O_DECLINED,2011/11/28 15:18:46.549,2011/11/28 15:18:46.549,2011/11/03 19:25:46.817,3500,10609,20,1322486326.549,1322486326.549,O_DECLINED-20,35259
186607,A_SUBMITTED,2011/11/17 20:32:59.815,2011/11/17 20:32:59.815,2011/11/17 20:32:59.815,15000,112,1,1321554779.815,1321554779.815,A_SUBMITTED-1,52803
186607,A_PARTLYSUBMITTED,2011/11/17 20:32:59.920,2011/11/17 20:32:59.920,2011/11/17 20:32:59.815,15000,112,2,1321554779.92,1321554779.92,A_PARTLYSUBMITTED-2,52804
186607,A_PREACCEPTED,2011/11/17 20:33:33.261,2011/11/17 20:33:33.261,2011/11/17 20:32:59.815,15000,112,3,1321554813.261,1321554813.261,A_PREACCEPTED-3,52805
186607,W_Completeren aanvraag,2011/11/17 21:47:30.177,2011/11/18 07:15:05.873,2011/11/17 20:32:59.815,15000,11119,4,1321559250.177,1321593305.873,W_Completeren aanvraag-4,52806
186607,W_Completeren aanvraag,2011/11/18 10:25:59.704,2011/11/18 10:38:05.715,2011/11/17 20:32:59.815,15000,10939,5,1321604759.704,1321605485.715,W_Completeren aanvraag-5,52807
186607,A_DECLINED,2011/11/18 10:38:02.449,2011/11/18 10:38:02.449,2011/11/17 20:32:59.815,15000,10939,6,1321605482.449,1321605482.449,A_DECLINED-6,52808
180835,A_SUBMITTED,2011/10/30 21:01:01.989,2011/10/30 21:01:01.989,2011/10/30 21:01:01.988,32000,112,1,1320001261.989,1320001261.989,A_SUBMITTED-1,30300
180835,A_PARTLYSUBMITTED,2011/10/30 21:01:02.358,2011/10/30 21:01:02.358,2011/10/30 21:01:01.988,32000,112,2,1320001262.358,1320001262.358,A_PARTLYSUBMITTED-2,30301
180835,A_DECLINED,2011/10/30 21:01:43.429,2011/10/30 21:01:43.429,2011/10/30 21:01:01.988,32000,112,3,1320001303.429,1320001303.429,A_DECLINED-3,30302
205885,A_SUBMITTED,2012/02/02 13:54:52.123,2012/02/02 13:54:52.123,2012/02/02 13:54:52.123,30000,112,1,1328183692.123,1328183692.123,A_SUBMITTED-1,132394
205885,A_PARTLYSUBMITTED,2012/02/02 13:54:53.140,2012/02/02 13:54:53.140,2012/02/02 13:54:52.123,30000,112,2,1328183693.14,1328183693.14,A_PARTLYSUBMITTED-2,132395
205885,A_PREACCEPTED,2012/02/02 13:55:38.543,2012/02/02 13:55:38.543,2012/02/02 13:54:52.123,30000,112,3,1328183738.543,1328183738.543,A_PREACCEPTED-3,132396
205885,W_Completeren aanvraag,2012/02/02 15:16:18.846,2012/02/02 15:16:42.149,2012/02/02 13:54:52.123,30000,11003,4,1328188578.846,1328188602.149,W_Completeren aanvraag-4,132397
205885,W_Completeren aanvraag,2012/02/02 16:50:29.084,2012/02/02 17:34:59.437,2012/02/02 13:54:52.123,30000,11169,5,1328194229.084,1328196899.437,W_Completeren aanvraag-5,132398
205885,A_ACCEPTED,2012/02/02 17:29:20.237,2012/02/02 17:29:20.237,2012/02/02 13:54:52.123,30000,11169,6,1328196560.237,1328196560.237,A_ACCEPTED-6,132399
205885,O_SELECTED,2012/02/02 17:34:56.655,2012/02/02 17:34:56.655,2012/02/02 13:54:52.123,30000,11169,7,1328196896.655,1328196896.655,O_SELECTED-7,132400
205885,A_FINALIZED,2012/02/02 17:34:56.655,2012/02/02 17:34:56.655,2012/02/02 13:54:52.123,30000,11169,8,1328196896.655,1328196896.655,A_FINALIZED-8,132401
205885,O_CREATED,2012/02/02 17:34:58.006,2012/02/02 17:34:58.006,2012/02/02 13:54:52.123,30000,11169,9,1328196898.006,1328196898.006,O_CREATED-9,132402
205885,O_SENT,2012/02/02 17:34:58.059,2012/02/02 17:34:58.059,2012/02/02 13:54:52.123,30000,11169,10,1328196898.059,1328196898.059,O_SENT-10,132403
205885,W_Nabellen offertes,2012/02/10 13:50:59.840,2012/02/10 13:52:26.787,2012/02/02 13:54:52.123,30000,11179,11,1328874659.84,1328874746.787,W_Nabellen offertes-11,132404
205885,W_Nabellen offertes,2012/02/14 12:32:25.832,2012/02/14 12:34:01.067,2012/02/02 13:54:52.123,30000,11203,12,1329215545.832,1329215641.067,W_Nabellen offertes-12,132405
205885,W_Nabellen offertes,2012/02/17 18:33:46.513,2012/02/17 18:35:12.618,2012/02/02 13:54:52.123,30000,11203,13,1329496426.513,1329496512.618,W_Nabellen offertes-13,132406
205885,W_Nabellen offertes,2012/02/18 17:34:25.663,2012/02/18 17:36:09.173,2012/02/02 13:54:52.123,30000,10913,14,1329579265.663,1329579369.173,W_Nabellen offertes-14,132407
205885,W_Nabellen offertes,2012/02/22 20:38:19.387,2012/02/22 20:41:08.469,2012/02/02 13:54:52.123,30000,10881,15,1329935899.387,1329936068.469,W_Nabellen offertes-15,132408
205885,W_Nabellen offertes,2012/02/23 17:40:48.607,2012/02/23 17:43:33.711,2012/02/02 13:54:52.123,30000,11203,16,1330011648.607,1330011813.711,W_Nabellen offertes-16,132409
205885,W_Nabellen offertes,2012/02/23 21:49:25.589,2012/02/23 21:51:05.796,2012/02/02 13:54:52.123,30000,10881,17,1330026565.589,1330026665.796,W_Nabellen offertes-17,132410
205885,W_Nabellen offertes,2012/02/25 16:36:09.863,2012/02/25 16:37:50.682,2012/02/02 13:54:52.123,30000,10909,18,1330180569.863,1330180670.682,W_Nabellen offertes-18,132411
205885,A_CANCELLED,2012/02/25 16:37:48.069,2012/02/25 16:37:48.069,2012/02/02 13:54:52.123,30000,10909,19,1330180668.069,1330180668.069,A_CANCELLED-19,132412
205885,O_CANCELLED,2012/02/25 16:37:48.069,2012/02/25 16:37:48.069,2012/02/02 13:54:52.123,30000,10909,20,1330180668.069,1330180668.069,O_CANCELLED-20,132413
183790,A_SUBMITTED,2011/11/10 13:09:21.736,2011/11/10 13:09:21.736,2011/11/10 13:09:21.736,7000,112,1,1320923361.736,1320923361.736,A_SUBMITTED-1,43051
183790,A_PARTLYSUBMITTED,2011/11/10 13:09:22.016,2011/11/10 13:09:22.016,2011/11/10 13:09:21.736,7000,112,2,1320923362.016,1320923362.016,A_PARTLYSUBMITTED-2,43052
183790,W_Afhandelen leads,2011/11/10 15:44:16.865,2011/11/10 15:48:19.110,2011/11/10 13:09:21.736,7000,112,3,1320932656.865,1320932899.11,W_Afhandelen leads-3,43053
183790,A_PREACCEPTED,2011/11/10 15:48:17.223,2011/11/10 15:48:17.223,2011/11/10 13:09:21.736,7000,11120,4,1320932897.223,1320932897.223,A_PREACCEPTED-4,43054
183790,W_Completeren aanvraag,2011/11/10 19:40:48.409,2011/11/10 19:50:06.097,2011/11/10 13:09:21.736,7000,11181,5,1320946848.409,1320947406.097,W_Completeren aanvraag-5,43055
183790,W_Completeren aanvraag,2011/11/10 19:50:35.981,2011/11/10 20:00:14.125,2011/11/10 13:09:21.736,7000,11181,6,1320947435.981,1320948014.125,W_Completeren aanvraag-6,43056
183790,W_Completeren aanvraag,2011/11/10 20:00:19.361,2011/11/10 20:02:56.843,2011/11/10 13:09:21.736,7000,11181,7,1320948019.361,1320948176.843,W_Completeren aanvraag-7,43057
183790,W_Completeren aanvraag,2011/11/10 20:42:33.192,2011/11/10 20:43:23.804,2011/11/10 13:09:21.736,7000,11181,8,1320950553.192,1320950603.804,W_Completeren aanvraag-8,43058
183790,W_Completeren aanvraag,2011/11/11 12:30:47.090,2011/11/11 12:33:57.135,2011/11/10 13:09:21.736,7000,11121,9,1321007447.09,1321007637.135,W_Completeren aanvraag-9,43059
183790,A_ACCEPTED,2011/11/11 12:32:30.689,2011/11/11 12:32:30.689,2011/11/10 13:09:21.736,7000,11121,10,1321007550.689,1321007550.689,A_ACCEPTED-10,43060
183790,O_SELECTED,2011/11/11 12:33:54.423,2011/11/11 12:33:54.423,2011/11/10 13:09:21.736,7000,11121,11,1321007634.423,1321007634.423,O_SELECTED-11,43061
183790,A_FINALIZED,2011/11/11 12:33:54.423,2011/11/11 12:33:54.423,2011/11/10 13:09:21.736,7000,11121,12,1321007634.423,1321007634.423,A_FINALIZED-12,43062
183790,O_CREATED,2011/11/11 12:33:55.562,2011/11/11 12:33:55.562,2011/11/10 13:09:21.736,7000,11121,13,1321007635.562,1321007635.562,O_CREATED-13,43063
183790,O_SENT,2011/11/11 12:33:55.594,2011/11/11 12:33:55.594,2011/11/10 13:09:21.736,7000,11121,14,1321007635.594,1321007635.594,O_SENT-14,43064
183790,W_Nabellen offertes,2011/11/19 15:41:16.850,2011/11/19 15:43:24.538,2011/11/10 13:09:21.736,7000,11121,15,1321710076.85,1321710204.538,W_Nabellen offertes-15,43065
183790,W_Nabellen offertes,2011/11/21 12:32:40.357,2011/11/21 12:33:14.472,2011/11/10 13:09:21.736,7000,11121,16,1321871560.357,1321871594.472,W_Nabellen offertes-16,43066
183790,O_SENT_BACK,2011/11/21 12:33:12.486,2011/11/21 12:33:12.486,2011/11/10 13:09:21.736,7000,11029,17,1321871592.486,1321871592.486,O_SENT_BACK-17,43067
183790,W_Valideren aanvraag,2011/11/23 15:40:54.395,2011/11/23 15:57:06.737,2011/11/10 13:09:21.736,7000,10138,18,1322055654.395,1322056626.737,W_Valideren aanvraag-18,43068
183790,W_Nabellen incomplete dossiers,2011/11/23 20:23:40.198,2011/11/23 20:48:54.146,2011/11/10 13:09:21.736,7000,10939,19,1322072620.198,1322074134.146,W_Nabellen incomplete dossiers-19,43069
183790,W_Valideren aanvraag,2011/11/24 09:38:02.495,2011/11/24 09:52:06.818,2011/11/10 13:09:21.736,7000,10138,20,1322120282.495,1322121126.818,W_Valideren aanvraag-20,43070
183790,A_DECLINED,2011/11/24 09:52:02.630,2011/11/24 09:52:02.630,2011/11/10 13:09:21.736,7000,10138,21,1322121122.63,1322121122.63,A_DECLINED-21,43071
183790,O_DECLINED,2011/11/24 09:52:02.630,2011/11/24 09:52:02.630,2011/11/10 13:09:21.736,7000,10138,22,1322121122.63,1322121122.63,O_DECLINED-22,43072
206177,A_SUBMITTED,2012/02/03 10:39:06.746,2012/02/03 10:39:06.746,2012/02/03 10:39:06.746,7500,112,1,1328258346.746,1328258346.746,A_SUBMITTED-1,133516
206177,A_PARTLYSUBMITTED,2012/02/03 10:39:07.468,2012/02/03 10:39:07.468,2012/02/03 10:39:06.746,7500,112,2,1328258347.468,1328258347.468,A_PARTLYSUBMITTED-2,133517
206177,W_Afhandelen leads,2012/02/03 12:56:15.228,2012/02/03 12:58:12.641,2012/02/03 10:39:06.746,7500,10932,3,1328266575.228,1328266692.641,W_Afhandelen leads-3,133518
206177,A_PREACCEPTED,2012/02/03 12:58:09.294,2012/02/03 12:58:09.294,2012/02/03 10:39:06.746,7500,10932,4,1328266689.294,1328266689.294,A_PREACCEPTED-4,133519
206177,W_Completeren aanvraag,2012/02/03 15:28:36.142,2012/02/03 15:28:42.708,2012/02/03 10:39:06.746,7500,11203,5,1328275716.142,1328275722.708,W_Completeren aanvraag-5,133520
206177,W_Completeren aanvraag,2012/02/03 19:01:37.759,2012/02/03 19:12:43.337,2012/02/03 10:39:06.746,7500,11201,6,1328288497.759,1328289163.337,W_Completeren aanvraag-6,133521
206177,A_ACCEPTED,2012/02/03 19:09:08.425,2012/02/03 19:09:08.425,2012/02/03 10:39:06.746,7500,11201,7,1328288948.425,1328288948.425,A_ACCEPTED-7,133522
206177,A_FINALIZED,2012/02/03 19:12:39.753,2012/02/03 19:12:39.753,2012/02/03 10:39:06.746,7500,11201,8,1328289159.753,1328289159.753,A_FINALIZED-8,133523
206177,O_SELECTED,2012/02/03 19:12:39.753,2012/02/03 19:12:39.753,2012/02/03 10:39:06.746,7500,11201,9,1328289159.753,1328289159.753,O_SELECTED-9,133524
206177,O_CREATED,2012/02/03 19:12:40.840,2012/02/03 19:12:40.840,2012/02/03 10:39:06.746,7500,11201,10,1328289160.84,1328289160.84,O_CREATED-10,133525
206177,O_SENT,2012/02/03 19:12:40.866,2012/02/03 19:12:40.866,2012/02/03 10:39:06.746,7500,11201,11,1328289160.866,1328289160.866,O_SENT-11,133526
206177,W_Nabellen offertes,2012/02/11 15:57:43.066,2012/02/11 16:07:24.612,2012/02/03 10:39:06.746,7500,10909,12,1328968663.066,1328969244.612,W_Nabellen offertes-12,133527
206177,W_Nabellen offertes,2012/02/17 20:36:38.724,2012/02/17 20:38:23.228,2012/02/03 10:39:06.746,7500,11119,13,1329503798.724,1329503903.228,W_Nabellen offertes-13,133528
206177,W_Nabellen offertes,2012/02/20 13:03:09.036,2012/02/20 13:08:42.268,2012/02/03 10:39:06.746,7500,10932,14,1329735789.036,1329736122.268,W_Nabellen offertes-14,133529
206177,W_Nabellen offertes,2012/02/24 19:54:51.125,2012/02/24 19:55:10.530,2012/02/03 10:39:06.746,7500,11119,15,1330106091.125,1330106110.53,W_Nabellen offertes-15,133530
206177,W_Nabellen offertes,2012/03/01 18:51:56.156,2012/03/01 18:58:16.803,2012/02/03 10:39:06.746,7500,10933,16,1330620716.156,1330621096.803,W_Nabellen offertes-16,133531
206177,W_Nabellen offertes,2012/03/01 19:31:47.482,2012/03/01 19:32:00.593,2012/02/03 10:39:06.746,7500,10933,17,1330623107.482,1330623120.593,W_Nabellen offertes-17,133532
206177,W_Nabellen offertes,2012/03/01 19:36:17.715,2012/03/01 19:38:22.973,2012/02/03 10:39:06.746,7500,11003,18,1330623377.715,1330623502.973,W_Nabellen offertes-18,133533
206177,O_SELECTED,2012/03/01 19:38:20.685,2012/03/01 19:38:20.685,2012/02/03 10:39:06.746,7500,11003,19,1330623500.685,1330623500.685,O_SELECTED-19,133534
206177,O_CANCELLED,2012/03/01 19:38:20.685,2012/03/01 19:38:20.685,2012/02/03 10:39:06.746,7500,11003,20,1330623500.685,1330623500.685,O_CANCELLED-20,133535
206177,O_CREATED,2012/03/01 19:38:21.577,2012/03/01 19:38:21.577,2012/02/03 10:39:06.746,7500,11003,21,1330623501.577,1330623501.577,O_CREATED-21,133536
206177,O_SENT,2012/03/01 19:38:21.606,2012/03/01 19:38:21.606,2012/02/03 10:39:06.746,7500,11003,22,1330623501.606,1330623501.606,O_SENT-22,133537
206177,W_Nabellen offertes,2012/03/10 13:34:19.422,2012/03/10 13:40:59.118,2012/02/03 10:39:06.746,7500,11119,23,1331379259.422,1331379659.118,W_Nabellen offertes-23,133538
206177,W_Nabellen offertes,2012/03/14 11:59:01.989,2012/03/14 11:59:16.730,2012/02/03 10:39:06.746,7500,11259,24,1331719141.989,1331719156.73,W_Nabellen offertes-24,133539
206177,O_SENT_BACK,2012/03/14 11:59:15.297,2012/03/14 11:59:15.297,2012/02/03 10:39:06.746,7500,11259,25,1331719155.297,1331719155.297,O_SENT_BACK-25,133540
175317,A_SUBMITTED,2011/10/07 12:24:19.209,2011/10/07 12:24:19.209,2011/10/07 12:24:19.209,5000,112,1,1317983059.209,1317983059.209,A_SUBMITTED-1,7355
175317,A_PARTLYSUBMITTED,2011/10/07 12:24:19.391,2011/10/07 12:24:19.391,2011/10/07 12:24:19.209,5000,112,2,1317983059.391,1317983059.391,A_PARTLYSUBMITTED-2,7356
175317,A_DECLINED,2011/10/07 12:24:52.821,2011/10/07 12:24:52.821,2011/10/07 12:24:19.209,5000,112,3,1317983092.821,1317983092.821,A_DECLINED-3,7357
197345,A_SUBMITTED,2012/01/02 21:36:17.232,2012/01/02 21:36:17.232,2012/01/02 21:36:17.231,15000,112,1,1325532977.232,1325532977.232,A_SUBMITTED-1,96229
197345,A_PARTLYSUBMITTED,2012/01/02 21:36:17.389,2012/01/02 21:36:17.389,2012/01/02 21:36:17.231,15000,112,2,1325532977.389,1325532977.389,A_PARTLYSUBMITTED-2,96230
197345,A_DECLINED,2012/01/02 21:36:59.959,2012/01/02 21:36:59.959,2012/01/02 21:36:17.231,15000,112,3,1325533019.959,1325533019.959,A_DECLINED-3,96231
197069,A_SUBMITTED,2012/01/02 12:17:10.858,2012/01/02 12:17:10.858,2012/01/02 12:17:10.857,8000,112,1,1325499430.858,1325499430.858,A_SUBMITTED-1,94937
197069,A_PARTLYSUBMITTED,2012/01/02 12:17:11.021,2012/01/02 12:17:11.021,2012/01/02 12:17:10.857,8000,112,2,1325499431.021,1325499431.021,A_PARTLYSUBMITTED-2,94938
197069,A_DECLINED,2012/01/02 12:18:02.048,2012/01/02 12:18:02.048,2012/01/02 12:17:10.857,8000,112,3,1325499482.048,1325499482.048,A_DECLINED-3,94939
198771,A_SUBMITTED,2012/01/07 11:10:29.577,2012/01/07 11:10:29.577,2012/01/07 11:10:29.577,5000,112,1,1325927429.577,1325927429.577,A_SUBMITTED-1,102601
198771,A_PARTLYSUBMITTED,2012/01/07 11:10:30.713,2012/01/07 11:10:30.713,2012/01/07 11:10:29.577,5000,112,2,1325927430.713,1325927430.713,A_PARTLYSUBMITTED-2,102602
198771,A_PREACCEPTED,2012/01/07 11:11:12.794,2012/01/07 11:11:12.794,2012/01/07 11:10:29.577,5000,112,3,1325927472.794,1325927472.794,A_PREACCEPTED-3,102603
198771,W_Completeren aanvraag,2012/01/07 13:58:02.142,2012/01/07 14:12:30.741,2012/01/07 11:10:29.577,5000,10929,4,1325937482.142,1325938350.741,W_Completeren aanvraag-4,102604
198771,A_ACCEPTED,2012/01/07 14:05:38.083,2012/01/07 14:05:38.083,2012/01/07 11:10:29.577,5000,10929,5,1325937938.083,1325937938.083,A_ACCEPTED-5,102605
198771,A_FINALIZED,2012/01/07 14:11:40.613,2012/01/07 14:11:40.613,2012/01/07 11:10:29.577,5000,10929,6,1325938300.613,1325938300.613,A_FINALIZED-6,102606
198771,O_SELECTED,2012/01/07 14:11:40.613,2012/01/07 14:11:40.613,2012/01/07 11:10:29.577,5000,10929,7,1325938300.613,1325938300.613,O_SELECTED-7,102607
198771,O_CREATED,2012/01/07 14:12:28.300,2012/01/07 14:12:28.300,2012/01/07 11:10:29.577,5000,10929,8,1325938348.3,1325938348.3,O_CREATED-8,102608
198771,O_SENT,2012/01/07 14:12:28.322,2012/01/07 14:12:28.322,2012/01/07 11:10:29.577,5000,10929,9,1325938348.322,1325938348.322,O_SENT-9,102609
198771,W_Nabellen offertes,2012/01/17 14:57:48.159,2012/01/17 14:59:50.124,2012/01/07 11:10:29.577,5000,11189,10,1326805068.159,1326805190.124,W_Nabellen offertes-10,102610
198771,W_Nabellen offertes,2012/01/18 12:30:10.159,2012/01/18 12:30:24.086,2012/01/07 11:10:29.577,5000,11259,11,1326882610.159,1326882624.086,W_Nabellen offertes-11,102611
198771,O_SENT_BACK,2012/01/18 12:30:22.857,2012/01/18 12:30:22.857,2012/01/07 11:10:29.577,5000,11259,12,1326882622.857,1326882622.857,O_SENT_BACK-12,102612
198771,W_Valideren aanvraag,2012/01/23 12:25:32.330,2012/01/23 12:37:32.769,2012/01/07 11:10:29.577,5000,10138,13,1327314332.33,1327315052.769,W_Valideren aanvraag-13,102613
198771,A_APPROVED,2012/01/23 12:37:24.709,2012/01/23 12:37:24.709,2012/01/07 11:10:29.577,5000,10138,14,1327315044.709,1327315044.709,A_APPROVED-14,102614
198771,O_ACCEPTED,2012/01/23 12:37:24.709,2012/01/23 12:37:24.709,2012/01/07 11:10:29.577,5000,10138,15,1327315044.709,1327315044.709,O_ACCEPTED-15,102615
198771,A_ACTIVATED,2012/01/23 12:37:24.710,2012/01/23 12:37:24.710,2012/01/07 11:10:29.577,5000,10138,16,1327315044.71,1327315044.71,A_ACTIVATED-16,102616
198771,A_REGISTERED,2012/01/23 12:37:24.710,2012/01/23 12:37:24.710,2012/01/07 11:10:29.577,5000,10138,17,1327315044.71,1327315044.71,A_REGISTERED-17,102617
180968,A_SUBMITTED,2011/10/31 13:21:56.439,2011/10/31 13:21:56.439,2011/10/31 13:21:56.439,15000,112,1,1320060116.439,1320060116.439,A_SUBMITTED-1,30810
180968,A_PARTLYSUBMITTED,2011/10/31 13:21:56.602,2011/10/31 13:21:56.602,2011/10/31 13:21:56.439,15000,112,2,1320060116.602,1320060116.602,A_PARTLYSUBMITTED-2,30811
180968,A_PREACCEPTED,2011/10/31 13:22:56.781,2011/10/31 13:22:56.781,2011/10/31 13:21:56.439,15000,112,3,1320060176.781,1320060176.781,A_PREACCEPTED-3,30812
180968,W_Completeren aanvraag,2011/10/31 15:38:31.584,2011/10/31 15:40:21.200,2011/10/31 13:21:56.439,15000,112,4,1320068311.584,1320068421.2,W_Completeren aanvraag-4,30813
180968,A_CANCELLED,2011/10/31 15:40:19.613,2011/10/31 15:40:19.613,2011/10/31 13:21:56.439,15000,11200,5,1320068419.613,1320068419.613,A_CANCELLED-5,30814
192662,A_SUBMITTED,2011/12/10 22:29:52.589,2011/12/10 22:29:52.589,2011/12/10 22:29:52.589,5000,112,1,1323548992.589,1323548992.589,A_SUBMITTED-1,76161
192662,A_PARTLYSUBMITTED,2011/12/10 22:29:52.768,2011/12/10 22:29:52.768,2011/12/10 22:29:52.589,5000,112,2,1323548992.768,1323548992.768,A_PARTLYSUBMITTED-2,76162
192662,W_Afhandelen leads,2011/12/12 10:31:17.649,2011/12/12 10:35:10.862,2011/12/10 22:29:52.589,5000,10929,3,1323678677.649,1323678910.862,W_Afhandelen leads-3,76163
192662,A_DECLINED,2011/12/12 10:35:07.110,2011/12/12 10:35:07.110,2011/12/10 22:29:52.589,5000,10929,4,1323678907.11,1323678907.11,A_DECLINED-4,76164
180403,A_SUBMITTED,2011/10/27 21:28:15.890,2011/10/27 21:28:15.890,2011/10/27 21:28:15.890,7000,112,1,1319743695.89,1319743695.89,A_SUBMITTED-1,28388
180403,A_PARTLYSUBMITTED,2011/10/27 21:28:16.208,2011/10/27 21:28:16.208,2011/10/27 21:28:15.890,7000,112,2,1319743696.208,1319743696.208,A_PARTLYSUBMITTED-2,28389
180403,A_PREACCEPTED,2011/10/27 21:29:01.023,2011/10/27 21:29:01.023,2011/10/27 21:28:15.890,7000,112,3,1319743741.023,1319743741.023,A_PREACCEPTED-3,28390
180403,W_Completeren aanvraag,2011/10/28 12:20:32.788,2011/10/28 12:27:53.094,2011/10/27 21:28:15.890,7000,10982,4,1319797232.788,1319797673.094,W_Completeren aanvraag-4,28391
180403,A_ACCEPTED,2011/10/28 12:26:35.010,2011/10/28 12:26:35.010,2011/10/27 21:28:15.890,7000,10982,5,1319797595.01,1319797595.01,A_ACCEPTED-5,28392
180403,O_SELECTED,2011/10/28 12:27:50.187,2011/10/28 12:27:50.187,2011/10/27 21:28:15.890,7000,10982,6,1319797670.187,1319797670.187,O_SELECTED-6,28393
180403,A_FINALIZED,2011/10/28 12:27:50.188,2011/10/28 12:27:50.188,2011/10/27 21:28:15.890,7000,10982,7,1319797670.188,1319797670.188,A_FINALIZED-7,28394
180403,O_CREATED,2011/10/28 12:27:51.608,2011/10/28 12:27:51.608,2011/10/27 21:28:15.890,7000,10982,8,1319797671.608,1319797671.608,O_CREATED-8,28395
180403,O_SENT,2011/10/28 12:27:51.677,2011/10/28 12:27:51.677,2011/10/27 21:28:15.890,7000,10982,9,1319797671.677,1319797671.677,O_SENT-9,28396
180403,W_Nabellen offertes,2011/10/28 12:28:03.502,2011/10/28 12:28:12.032,2011/10/27 21:28:15.890,7000,10982,10,1319797683.502,1319797692.032,W_Nabellen offertes-10,28397
180403,W_Nabellen offertes,2011/11/04 19:31:00.080,2011/11/04 19:34:35.085,2011/10/27 21:28:15.890,7000,11201,11,1320427860.08,1320428075.085,W_Nabellen offertes-11,28398
